keyword,type
aa,associates
aaa,associates
aaas,associates
aab,associates
aaba,associates
aabusn,associates
aags,associates
aamin,associates
aas,associates
aasc,associates
aascj,associates
aasd,associates
aaset,associates
aasoeet,associates
aat,associates
ab,bachelors
aba,associates
abc,airforce degree
abd,all but dissertation
abj,bachelors
abroad,
achievement,
achievements,
ad,associates
adcj,associates
adiv,associates
adn,associates
advanced,
ae,associates
aec,certificate
aee,associates
aej,associates
aes,associates
aet,associates
afa,associates
age,associates
ags,associates
ahs,associates
aim,associates
aisc,certificate
ait,associates
ala,associates
am,associates
amin,associates
aml,masters
an,associates
aos,associates
aot,associates
apeng,associates
applied,
aps,associates
apt,associates
arm,associates
as,associates
asae,certificate
asba,associates
asc,associates
ascis,associates
ascj,associates
ascm,associates
ascnt,associates
asdh,associates
asdm,associates
aseet,associates
asge,associates
asma,associates
asmet,associates
asn,associates
aspt,associates
asr,associates
ass,associates
assistant,
assoc,associates
associate,associates
associated,
associates,associates
associatge,associates
association,
ba,bachelors
baa,bachelors
baas,bachelors
baba,bachelors
babs,bachelors
bac,bachelors
bacc,bachelors
baccalaurat,bachelors
baccalaureat,bachelors
baccalaureate,bachelors
bach,bachelors
bachelor,bachelors
bachelors,bachelors
bachlors,bachelors
bacom,bachelors
bae,bachelors
bag,bachelors
barch,bachelors
bas,bachelors
basc,bachelors
bba,bachelors
bbm,bachelors
bbme,bachelors
bbs,bachelors
bca,bachelors
bce,bachelors
bche,bachelors
bcom,bachelors
bd,bachelors
bds,bachelors
be,bachelors
bebs,bachelors
bec,bachelors
bechelor,bachelors
bed,bachelors
bee,bachelors
beme,bachelors
beng,bachelors
bes,bachelors
bfa,bachelors
bgs,bachelors
bhs,bachelors
bindsn,bachelors
bis,bachelors
bj,bachelors
bl,bachelors
bla,bachelors
bm,bachelors
bma,bachelors
bme,bachelors
bmed,bachelors
bmus,bachelors
bpa,bachelors
bs,bachelors
bsa,bachelors
bsae,bachelors
bsb,bachelors
bsba,bachelors
bsbm,bachelors
bsc,bachelors
bsce,bachelors
bsch,bachelors
bschem,bachelors
bsci,bachelors
bscs,bachelors
bse,bachelors
bsed,bachelors
bsee,bachelors
bsge,bachelors
bsie,bachelors
bsm,bachelors
bsme,bachelors
bsmicr,bachelors
bsms,bachelors
bsn,bachelors
bssw,bachelors
bsw,bachelors
btech,bachelors
bvsc,bachelors
cags,certificate
ccna,certificate
cert,certificate
certifcate,certificate
certifed,certificate
certificantion,certificate
certificate,certificate
certificates,certificate
certification,certificate
certified,certificate
classes,
cma,certificate
cna,certificate
college,
complete,
courses,
courseware,
coursework,
credits,
dba,doctorate
degree,
degrees,
diploma,
doctor,doctor
doctoral,doctorate
doctorate,doctorate
dpm,doctorate
drs,masters
dsc,doctorate
dsm,doctorate
dvm,doctorate
edd,doctorate
edm,masters
eds,doctorate
education,
emba,masters
equivalent,
executive,
fellow,
fellowship,
ged,hs diploma
graduate,
graduation,
hnd,associates
honors,
hs,hs diploma
hsc,hs diploma
jd,juris doctor
junior,
juris,juris doctor
laude,
leadership,
level,
license,license
llb,bachelors
llm,masters
lmt,license
lpn,license
ma,masters
mais,masters
mas,masters
masc,masters
master,masters
masters,masters
mater,masters
maters,masters
mba,masters
mbbs,masters
mbe,masters
mbo,masters
mbs,masters
mca,masters
mce,masters
mcl,masters
mcom,masters
mcp,masters
mcs,masters
mcsa,certificate
mcsd,certificate
mcse,certificate
mcts,certificate
md,medical degree
mdes,masters
mdiv,masters
mds,masters
me,masters
med,masters
mem,masters
meng,masters
mes,masters
mfa,masters
mfs,masters
mgd,masters
mgs,masters
mha,masters
miba,masters
mim,masters
minimba,certificate
minor,minor
mis,masters
mj,masters
ml,masters
mla,masters
mler,masters
mlis,masters
mls,masters
mm,masters
mms,masters
mn,masters
mos,certificate
mpa,masters
mph,masters
mphil,masters
mpia,masters
mpm,masters
mpp,masters
mps,masters
ms,masters
msa,masters
msas,masters
msba,masters
msc,masters
msce,masters
mscs,masters
mse,masters
msed,masters
msee,masters
msem,masters
msg,masters
mshp,masters
msit,masters
msme,masters
msms,masters
msn,masters
msph,masters
mss,masters
msse,masters
mssw,masters
mst,masters
mstm,masters
msw,masters
mta,masters
mtech,masters
mts,masters
pg,masters
pgdm,masters
pharm,
pharmd,doctorate
phb,bachelors
phd,doctorate
phr,certificate
pmm,certificate
pmp,certificate
postdoctoral,
postdoctorate,
postgraduate,
preparatory,
professional,
program,
progress,
psyd,doctorate
rda,certificate
rdt,certificate
regents,hs diploma
research,
sb,bachelors
scb,bachelors
schol,
scholar,
scholarship,
school,
science,
sciences,
scjp,certificate
scpm,certificate
shrm,certificate
sigma,
ssc,certificate
sslc,certificate
standing,
student,
studies,
study,
teaching,
technical,
tha,associates
thb,bachelors
toward,
towards,
training,
undergraduate,
vce,certificate
vocational,vocational
working,
year,some education
years,
yr,some education
