original_word,new_word
developers,developer
develppers,developer
coordinators,coordinator
application,applications
analysts,analyst
analyast,analyst
ananlyst,analyst
analysr,analyst
information technology,it
managers,manager
srprogrammer,sr programmer
srcomputer,sr computer
srjava,sr java
srsoftware,sr software
srqa,sr qa
srapplication,sr application
srsystem,sr systems
salesforcecom,salesforce
admin,administrator
developer,engineer
solution,solutions
net,.net
dotnet,.net
fullstack,full stack
db,database
system,systems
principle,principal
leader,lead
ui,ux
user experience,ux
ui/ux,ux
ux/ui,ux
wi-fi,wifi
wi fi,wifi
user interface,ux
dba,database administrator
enigneer,engineer
enginerr,engineer
engingeer,engineer
engneer,engineer
engr,engineer
hr,human resources
manger,manager
qa,quality assurance
frontend,front end
backend,back end
bi,business intelligence
vp,vice president
sr,senior
jr,junior
i,1
ii,2
iii,3
iv,4
v,5
vi,6
vii,7
l1,1
l2,2
l3,3
l4,4
l5,5
l6,6
l7,7
one,1
two,2
three,3
four,4
five,5
six,6
seven,7
_accounting,accounting
_developer,developer
_engineer,engineer
_project,project
_retail,retail
_richmond,richmond
_security,security
aanalyst,analyst
aanlyst,analyst
abailable,available
acccount,account
accont,account
accontant,accountant
accoountant,accountant
accoounting,accounting
accouantant,accountant
accouinting,accounting
accoun,account
accounant,accountant
accountnat,accountant
accoutant,accountant
accouting,accounting
achitect,architect
acocunt,account
acoount,account
acount,account
acountant,accountant
acounts,accounts
acqisition,acquisition
acquasition,acquisition
acquisiion,acquisition
acquisitioner,acquisition
acquisitions,acquisition
acquisiton,acquisition
acquistiions,acquisition
acquistion,acquisition
acqusition,acquisition
acqusitions,acquisition
adminiatrative,administrative
admininistrative,administrative
admininistrator,administrator
admininstrative,administrative
admininstrator,administrator
adminisstrator,administrator
administartive,administrative
administartor,administrator
administative,administrative
administator,administrator
administraor,administrator
administrato,administrator
administratorn,administrator
administrators,administrator
administratror,administrator
administratve,administrative
administrive,administrative
administrtaive,administrative
administrtor,administrator
adminitrative,administrative
adminitrator,administrator
adminr,admin
admins,admin
adminsitrative,administrative
adminsitrator,administrator
adminstratior,administrator
adminstrative,administrative
adminstrator,administrator
admistrative,administrative
admistrator,administrator
admnistrator,administrator
adviser,advisor
advisers,advisor
advisior,advisor
advisors,advisor
agents,agent
alalyst,analyst
alayst,analyst
aleandria,alexandria
alexadria,alexandria
alexandia,alexandria
alexandira,alexandria
alexandndria,alexandria
alexandra,alexandria
alexandrea,alexandria
alexandri,alexandria
alrington,arlington
aministrator,administrator
analayst,analyst
analst,analyst
analsyt,analyst
analyat,analyst
analyics,analytics
analyist,analyst
analylst,analyst
analys,analysis
analyses,analysis
analysi,analysis
analysis,analysis
analyst_,analyst
analystic,analyst
analystics,analytics
analysts,analyst
analystt,analyst
analyt,analyst
analytic,analytics
analytical,analytics
analytst,analyst
ananlyst,analyst
anaylst,analyst
anaylyst,analyst
anayst,analyst
andoid,android
andriod,android
anlayst,analyst
anlaytics,analytics
anlyst,analyst
anlytcs,analytics
annalyst,analyst
anslyst,analyst
anyalist,analyst
aplication,application
appication,application
appications,applications
appilcation,application
applcations,applications
applicaiton,application
applicaitons,applications
applicatoins,applications
applicatons,applications
appliications,applications
appplications,applications
aquisition,acquisition
aquisitions,acquisition
archictect,architect
archiect,architect
architct,architect
architech,architect
architecht,architect
architects,architect
archtect,architect
archtiect,architect
arlingon,arlington
arlingt,arlington
arlintgon,arlington
arllington,arlington
arrington,arlington
asisst,assist
asisstant,assistant
asistant,assistant
asociate,associate
assciate,associate
asscociate,associate
assest,assest
assets,assest
assicoate,associate
assiistant,assistant
assisant,assistant
assisatant,assistant
assisrant,assistant
assisstant,assistant
assista,assistant
assistamt,assistant
assistan,assistant
assistance,assistant
assistants,assistant
assistent,assistant
assitant,assistant
assiurance,assurance
assocaite,associate
assocate,associate
associ,associate
associatei,associate
associates,associate
associtae,associate
associte,associate
assocoiate,associate
assoicate,associate
assoicates,associate
assoiciate,associate
assruance,assurance
asssistant,assistant
asssitant,assistant
asstistant,assistant
assuance,assurance
assuarance,assurance
assurace,assurance
assurane,assurance
asurance,assurance
attedant,attendant
attendannt,attendant
attendants,attendant
attendent,attendant
attndant,attendant
auomation,automation
automations,automation
autommation,automation
avaialble,available
availabe,available
availaible,available
avialable,available
avisory,advisory
backed,backend
bankers,banker
benefit,benefits
benefts,benefits
beneifts,benefits
beneits,benefits
branches,branch
buiness,business
buisness,business
busienss,business
busincess,business
busines,business
businesses,business
businesss,business
businss,business
busness,business
cahier,cashier
cashiers,cashier
ccyber,cyber
cearance,clearance
centers,center
centre,center
centter,center
cerified,certified
certfied,certified
certifed,certified
cetner,center
classes,class
classs,class
cleaace,clearance
cleaarance,clearance
clearace,clearance
clearan,clearance
clearanance,clearance
clearancce,clearance
clearances,clearance
clearane,clearance
cleareance,clearance
clearence,clearance
clearnc,clearance
clerance,clearance
clerck,clerk
clerks,clerk
clients,client
cliinical,clinical
clincal,clinical
clincial,clinical
clinicals,clinical
clinicial,clinical
clinician,clinical
clinincal,clinical
clkerk,clerk
cllent,client
clnical,clinical
clogistics,logistics
cloiud,cloud
cnslting,consulting
cntrol,control
commercia,commercial
commerical,commercial
commericial,commercial
comminucations,communications
commuications,communications
communcation,communications
communcations,communications
communciations,communications
communiations,communications
commuter,computer
compete,computer
compilance,compliance
complian,compliance
comptr,computer
computed,computer
computers,computer
comuications,communications
comuunication,communications
concultant,consultant
conrol,control
consltant,consultant
consruction,construction
conssultant,consultant
constant,consultant
construciton,construction
constructions,construction
constuction,construction
consulant,consultant
consulltant,consultant
consulta,consultant
consultan,consultant
consultant_,consultant
consultanta,consultant
consultanti,consultant
consultants,consultant
consultnat,consultant
consultnt,consultant
consulutant,consultant
consutant,consultant
consutlant,consultant
consutling,consulting
contact,contract
contracr,contractor
contracts,contract
controls,control
contruction,construction
coodinator,coordinator
coordiantor,coordinator
coordiator,coordinator
coordinatior,coordinator
coordinato,coordinator
coordinators,coordinator
coordintator,coordinator
coordintor,coordinator
coordnator,coordinator
cooridinator,coordinator
cooridnator,coordinator
coorinator,coordinator
coportate,corporate
cordinator,coordinator
corners,corner
corodinator,coordinator
corporates,corporate
corrdinator,coordinator
costumer,customer
cotract,contract
counsultant,consultant
custmer,customer
custmr,customer
custome,customer
customers,customer
customs,customer
custumer,customer
cutomer,customer
databases,database
databse,database
databsse,database
dedveloper,developer
delveloper,developer
departmen,department
departmental,department
departments,department
desginer,designer
desgner,designer
designee,designer
designerr,designer
designers,designer
designs,design
desinger,designer
develeopment,development
develoment,development
develooper,developer
develoopment,development
develope,developer
developement,development
developers,developer
developler,developer
developmemt,development
developmen,development
developmental,development
developments,development
developmer,developer
developmnet,development
developmnt,development
developoment,development
developr,developer
develpoment,development
